titulo,empresa,pais,fecha_captura,descripcion,modalidad,tipo_horario,fecha_publicacion,grupo,es_ti,nivel_seniority,es_remoto,largo_descripcion,categoria_horario_modalidad
"académico(a) ingeniería civil industrial / computación e informática - 1 vacante, tiempo completo",universidad católica silva henríquez - empleos,chile,2026-03-01 19:44:09,"Académico(a) Ingeniería Civil Industrial / Computación e Informática - 1 Vacante, Tiempo Completo Santiago Universidad Católica Silva Henríquez - Empl...",presencial,full time,,giannella-rieu,True,No especificado,False,153,Presencial FT
académico(a) online ingeniería industrial,empresa confidencial,chile,2026-05-02 03:58:32,"Publicada ayer Académico(a) Online Ingeniería Industrial Empresa Confidencial Santiago, Metropolitana de Santiago Importante Universidad requiere para...",presencial,no especificado,Publicada ayer,denisBaez,False,No especificado,False,153,Otro
académico/a docente - facultad de negocios y tecnologías,empresa destacada,chile,2026-03-01 04:05:26,Oferta para el area de tecnologia,presencial,full time,Reciente,Nicolas-Jorgensen,True,No especificado,False,33,Presencial FT
académicos/as facultad de psicología santiago - universidad san sebastián,empresa destacada,chile,2026-03-01 04:09:03,Oferta para el area de psicologia,presencial,full time,Reciente,Nicolas-Jorgensen,False,No especificado,False,33,Presencial FT
account executive,no especificada,hybrid,2026-05-02 04:21:25,No disponible en listado,híbrido,full time,Apr 23,diegoCastillo,False,No especificado,False,24,Otro
account manager perú,no especificada,hybrid,2026-05-02 04:21:00,No disponible en listado,híbrido,full time,Apr 09,diegoCastillo,False,No especificado,False,24,Otro
actuario senior,no especificada,hybrid,2026-05-02 04:22:37,No disponible en listado,híbrido,full time,abr 02,diegoCastillo,False,Senior,False,24,Otro
administracion de restaurant,administracion de restaurant,chile,2026-05-02 04:12:11,"Administracion de restaurant GASTRONOMICA DE LA COSTA OTR LTDA Puchuncaví, Valparaíso Más de 30 días...",presencial,full time,Más de 30 días,Lizette-Sanmartin,False,No especificado,False,103,Presencial FT
administración campamento logística (coquimbo),guiñez ingenieria ltda,chile,2026-05-02 04:00:32,"Hace 16 días Administración Campamento Logística (Coquimbo) Guiñez Ingenieria Ltda Coquimbo, Coquimbo Empresa de la segunda región enfocada...",presencial,no especificado,Hace 16 días,denisBaez,False,No especificado,False,142,Otro
administración de local (maule),el grillo,chile,2026-03-01 19:51:32,Administración de Local (Maule) Maule EL GRILLO Open job preview for: de Local (Maule) - Maule...,presencial,full time,,giannella-rieu,False,No especificado,False,97,Presencial FT
administración de empresas - practica profesional,enjoy,chile,2026-03-01 19:49:52,Administración de empresas - Practica profesional Coquimbo Enjoy Open job preview for: de empresas - Practica profesional - Coquimbo...,presencial,full time,,giannella-rieu,False,No especificado,False,135,Presencial FT
administración y facturación,alimentos san mateo sa,chile,2026-03-01 03:54:25,Administración y Facturación Pudahuel ALIMENTOS SAN MATEO SA Open job preview for: y Facturación - Pudahuel...,presencial,full time,,giannella-rieu,False,No especificado,False,110,Presencial FT
administración y marketing,administración y marketing,chile,2026-05-02 04:12:11,"Administración y Marketing LA BELLA PETITE Concepción, Bíobío $ 600.000,00 (Mensual) Más de 30 días...",presencial,full time,Más de 30 días,Lizette-Sanmartin,False,No especificado,False,102,Presencial FT
administración,petco,chile,2026-03-01 19:49:51,Administración Santiago PETCO Open job preview for: - Santiago...,presencial,full time,,giannella-rieu,False,No especificado,False,65,Presencial FT
administrador de contratos cliente industrial,administrador de contratos cliente industrial,chile,2026-05-02 04:12:22,"Se precisa Urgente Empleo destacado Administrador De Contratos Cliente Industrial Importante empresa del sector Santiago - conchalí, R.Metropolitana $...",presencial,full time,Hace 2 horas,Lizette-Sanmartin,False,No especificado,False,153,Presencial FT
"administrador de fincas para administración de pagos, convocatorias, actas y contratos",cronoshare.cl,chile,2026-03-01 19:47:08,"Administrador De Fincas Para Administración De Pagos, Convocatorias, Actas Y Contratos La Serena Cronoshare.Cl Open job preview for: Administrador De ...",presencial,full time,,giannella-rieu,False,No especificado,False,153,Presencial FT
administrador de fincas para administración de pagos,cronoshare.cl,chile,2026-03-01 19:52:44,Administrador De Fincas Para Administración De Pagos Valparaíso Cronoshare.Cl Open job preview for: Administrador De Fincas Para De Pagos - Valparaíso...,presencial,full time,,giannella-rieu,False,No especificado,False,153,Presencial FT
administrador general para centro turístico,austral asesores s.a.,chile,2026-03-01 19:50:19,Administrador General para centro turístico Pichidangui AUSTRAL ASESORES S.A. Open job preview for: Administrador General para centro turístico - Pich...,presencial,full time,,giannella-rieu,False,No especificado,False,153,Presencial FT
administrador oracle ii,no especificada,hybrid,2026-05-02 04:21:14,No disponible en listado,híbrido,full time,Apr 23,diegoCastillo,False,No especificado,False,24,Otro
administrador oracle middleware ssr(latam),no especificada,remote,2026-05-02 04:22:50,No disponible en listado,remoto,freelance,mar 31,diegoCastillo,False,Semi-Senior,True,24,Otro
administrador sap cerrillos,"allendes hermanos, santiago",chile,2026-05-02 03:43:29,Distribuidora de alimentos con presencia nacional y ubicada en la comuna de cerrillos… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,True,No especificado,False,94,Presencial FT
administrador salesforce,no especificada,hybrid,2026-05-02 04:20:31,No disponible en listado,híbrido,full time,mar 03,diegoCastillo,False,No especificado,False,24,Otro
administrador zonal,empresa destacada,chile,2026-03-01 04:05:43,Oferta para el area de administracion,presencial,full time,Reciente,Nicolas-Jorgensen,False,No especificado,False,37,Presencial FT
administrador condominio,"condominio gran oceano, valparaíso",chile,2026-05-02 03:43:01,Descriptor de cargo: administrador de condominio objetivo del cargo velar por la correcta… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,98,Presencial FT
administrador de agencia,empresa destacada,chile,2026-03-01 04:05:43,Oferta para el area de administracion,presencial,full time,Reciente,Nicolas-Jorgensen,False,No especificado,False,37,Presencial FT
administrador de aplicaciones – sistemas core,administrador de aplicaciones – sistemas core,chile,2026-05-02 04:10:39,"Se precisa Urgente Empleo destacado Administrador de Aplicaciones – Sistemas Core Ingenieria informatica Kibernum S.A. Santiago Centro, R.Metropolitan...",presencial,full time,Hace 12 horas,Lizette-Sanmartin,True,No especificado,False,153,Presencial FT
administrador de cafetería,administrador de cafetería,chile,2026-05-02 04:12:35,"Se precisa Urgente Empleo destacado Administrador de Cafetería Importante empresa del sector Talca, Maule Hace 4 horas...",presencial,full time,Hace 4 horas,Lizette-Sanmartin,False,No especificado,False,121,Presencial FT
administrador de contrato (coquimbo),guiñez ingenieria ltda,chile,2026-05-02 03:59:02,"Hace 4 días Administrador de Contrato (Coquimbo) Guiñez Ingenieria Ltda Coquimbo, Coquimbo ...de un ""Administrador de Contrato""...",presencial,no especificado,Hace 4 días,denisBaez,False,No especificado,False,130,Otro
administrador de contrato (proyecto eléctrico) región de coquimbo (la serena),grafton recruitment chile,chile,2026-03-01 19:48:20,Administrador de Contrato (Proyecto Eléctrico) Región de Coquimbo (La Serena) La Serena Grafton Recruitment Chile Open job preview for: Administrador ...,presencial,full time,,giannella-rieu,False,No especificado,False,153,Presencial FT
administrador de contrato - talcahuano,"empresa ingeniería y construcción, concepción",chile,2026-05-02 03:43:30,Administrador(a) de contrato – proyecto industrial concepción / talcahuano importante empresa del sector… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,False,No especificado,False,113,Presencial FT
administrador de contrato l033,cyd ingeniería ltda.,chile,2026-05-02 03:59:02,"Hace 17 días Administrador de Contrato L033 CyD Ingeniería Ltda. Salamanca, Coquimbo ...como Administrador de Contrato...",presencial,no especificado,Hace 17 días,denisBaez,False,No especificado,False,121,Otro
administrador de contrato servicio instrumentación geomecánica,empresa confidencial,chile,2026-05-02 03:59:02,"Hace 2 días Administrador de Contrato Servicio Instrumentación Geomecánica Empresa Confidencial Rancagua, Lib. Gral. Bdo. O'Higgins ...a su equipo Administrador/a de Contrato... Destacada",presencial,no especificado,Hace 2 días,denisBaez,False,No especificado,False,187,Otro
administrador de contrato – servicio de administración y operación bodega minería,administrador de contrato – servicio de administración y operación bodega minería,chile,2026-05-02 04:11:48,"Administrador de Contrato – Servicio de Administración y Operación Bodega Minería Importante empresa del sector Diego de Almagro, Atacama Hace 7 días...",presencial,full time,Hace 7 días,Lizette-Sanmartin,False,No especificado,False,152,Presencial FT
administrador de contrato — seguridad minera,"empresa confidencial, antofagasta",chile,2026-05-02 03:43:36,Empresa líder en servicios de seguridad privada con presencia en la gran minería… Ver más,presencial,full time,Reciente,Benjamin-Ramirez,True,No especificado,False,89,Presencial FT
"administrador de contrato, calama",empresa confidencial,chile,2026-05-02 03:59:02,"Publicada ayer Administrador de Contrato, CALAMA Empresa Confidencial Calama, Antofagasta Estamos buscando un profesional especialista...",presencial,no especificado,Publicada ayer,denisBaez,False,No especificado,False,137,Otro
administrador de contratos – proyecto eléctrico (la serena),grafton recruitment chile,chile,2026-03-01 19:47:40,Administrador de Contratos – Proyecto Eléctrico (La Serena) La Serena Grafton Recruitment Chile Open job preview for: Administrador de Contratos – Pro...,presencial,full time,,giannella-rieu,False,No especificado,False,153,Presencial FT
administrador de contrato,5s consultores,chile,2026-05-02 03:59:02,"Publicada ayer Administrador de Contrato 5S Consultores Antofagasta, Antofagasta ...de un/a Administrador de Contratos...",presencial,no especificado,Publicada ayer,denisBaez,False,No especificado,False,121,Otro
administrador de contrato,empresa destacada,chile,2026-03-01 04:05:42,Oferta para el area de administracion,presencial,full time,Reciente,Nicolas-Jorgensen,False,No especificado,False,37,Presencial FT
administrador de fincas: gestión de pagos y mantenimiento,cronoshare.cl,chile,2026-03-01 19:47:53,Administrador de Fincas: Gestión de Pagos y Mantenimiento La Serena Cronoshare.Cl Open job preview for: Administrador de Fincas: Gestión de Pagos y Ma...,presencial,full time,,giannella-rieu,False,No especificado,False,153,Presencial FT
